id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
18937,12/8/2019,TEOGI05012,Super ,30,250,210,Super ,30,600,500,1
18938,12/8/2019,TRMF00078,Super ,30,250,210,Super ,30,140,120,1
18939,12/8/2019,TEOCA02011,Super ,30,250,210,Super ,30,140,120,1
18940,12/8/2019,TREX00146,Super ,30,140,120,Super ,30,250,210,1
18941,12/8/2019,TEOGI04017,Super ,30,600,500,Mega ,70,250,310,1
18942,12/8/2019,TDOCA01011,Mega ,70,140,220,Super ,30,250,210,1
18943,12/8/2019,TEOQU08032,Super ,30,250,210,Super ,30,140,120,1
18944,12/9/2019,101-TEGCCABCCNCC,Super ,30,140,120,Super ,30,250,210,159
18945,12/9/2019,TKA00001.54,Super ,30,250,210,Super ,30,140,120,1
18946,12/9/2019,TEOBE09021,Super ,30,250,210,Super ,30,140,120,4
18947,12/9/2019,TREX00074,Super ,30,140,120,Super ,30,250,210,1
18948,12/9/2019,TEOQE14011,Super ,30,250,210,Super ,30,140,120,1
18949,12/9/2019,101-001,Super ,30,250,210,Super ,30,140,120,3
18950,12/9/2019,FCFKCA02022,Super ,30,140,120,Super ,30,250,210,1
18951,12/9/2019,TEOGI04017,Super ,30,250,210,Super ,30,600,500,2
18952,12/9/2019,TEOSU11014,Super ,30,140,120,Super ,30,250,210,1
18953,12/2/2019,TEOCA01015,Mega ,70,140,220,Ultra ,100,140,320,1
18954,12/2/2019,DNFGI0401002,Super ,30,140,120,Super ,30,250,210,1
18955,12/2/2019,TDOCA03032,Ultra ,100,250,410,Ultra ,100,140,320,1
18956,12/2/2019,TEOAT13014,Super ,30,140,120,Super ,30,250,210,1
18957,12/2/2019,101-TEGTKMBCS,Super ,30,140,120,Super ,30,140,120,1
18958,12/2/2019,101-TEGCCACCDCSA,Super ,30,250,210,Super ,30,600,500,1
18959,12/2/2019,TEOFA12022,Super ,30,140,120,Super ,30,250,210,1
18960,12/4/2019,TEOCA01026,Super ,30,140,120,Super ,30,250,210,1
18961,12/3/2019,TRDSL00717,Super ,30,140,120,Super ,30,250,210,1
18962,12/3/2019,TEOBS12013,Super ,30,140,120,Super ,30,250,210,1
18963,12/3/2019,TDOSS11021,Super ,30,250,210,Super ,30,140,120,1
18964,12/3/2019,TEORS11031,Super ,30,140,120,Super ,30,250,210,1
18965,12/3/2019,TEODK07022,Super ,30,140,120,Super ,30,250,210,2
18966,12/3/2019,TEOSH07041,Super ,30,140,120,Super ,30,250,210,1
18967,12/3/2019,101-TEGCCABCCNCC,Super ,30,250,210,Super ,30,250,210,3
18968,12/8/2019,ASFAL0601001,Super ,30,250,210,Super ,30,140,120,1
18969,12/8/2019,TEOMO08021,Super ,30,140,120,Super ,30,250,210,5
18970,12/8/2019,TEEAL07011,Super ,30,250,210,Super ,30,140,120,3
18971,12/8/2019,TEOBS12011,Super ,30,140,120,Super ,30,250,210,4
18972,12/8/2019,TDOGI06011,Super ,30,140,120,Super ,30,250,210,1
18973,12/8/2019,DEFCA0201001,Super ,30,140,120,Super ,30,250,210,2
18974,12/8/2019,TEOAT13012,Super ,30,250,210,Super ,30,600,500,2
18975,12/8/2019,TDODK07011,Super ,30,250,210,Super ,30,140,120,5
18976,12/8/2019,TEOSU110111,Super ,30,140,120,Super ,30,250,210,3
18977,12/9/2019,FSFSH0703001,Super ,30,140,120,Super ,30,250,210,1
18978,12/9/2019,TEOQU08038,Super ,30,250,210,Super ,30,140,120,1
18979,12/9/2019,TEOQE14011,Super ,30,140,120,Super ,30,250,210,1
18980,12/9/2019,TRMF00016,Super ,30,140,120,Super ,30,250,210,1
18981,12/9/2019,ASFCA0203003,Super ,30,140,120,Super ,30,250,210,1
18982,12/9/2019,101-TEGCCADSD,Super ,30,250,210,Super ,30,250,210,1
18983,12/9/2019,TEOCA03033,Super ,30,140,120,Super ,30,250,210,1
18984,12/9/2019,101-001,Super ,30,140,120,Ultra ,100,250,410,1
