TEOBE09013,Super ,30,140,120,Super ,30,250,210,1
101-001,Super ,30,140,120,Super ,30,250,210,1
TRMF00006,Super ,30,140,120,Super ,30,250,210,1
TDOSS11021,Super ,30,250,210,Super ,30,600,500,1
TRDSL00717,Mega ,70,140,220,Super ,30,600,500,1
101-001,Super ,30,250,210,Super ,30,600,500,9
TEOGI040411,Super ,30,250,210,Super ,30,600,500,1
TEOCA01025,Super ,30,140,120,Super ,30,250,210,1
TRDSL00077,Super ,30,140,120,Super ,30,250,210,1
TEOGI040412,Super ,30,140,120,Mega ,70,250,310,1
TEOCA01013,Super ,30,140,120,Super ,30,250,210,2
TDOAL07022,Super ,30,250,210,Super ,30,600,500,2
TEOBE090214,Super ,30,140,120,Super ,30,250,210,1
101-TEGCCABCCNCC,Super ,30,140,120,Super ,30,250,210,1
TEEAL07023,Super ,30,250,210,Super ,30,600,500,1
TRMF00079,Super ,30,140,120,Super ,30,250,210,1
TEOCA03035,Super ,30,250,210,Super ,30,600,500,1
101-001,Super ,30,250,210,Ultra ,100,600,700,1
TDOCA01021,Super ,30,250,210,Super ,30,600,500,1
FCFAT1301003,Super ,30,140,120,Super ,30,250,210,1
KHFDK0701001,Super ,30,140,120,Super ,30,250,210,1
TREX00066,Super ,30,140,120,Super ,30,250,210,1
TEOGI04017,Super ,30,140,120,Super ,30,250,210,1
TEORS11036,Super ,30,140,120,Super ,30,600,500,1
TEOGI04018,Super ,30,140,120,Super ,30,250,210,1
TEEAL07024,Super ,30,140,120,Super ,30,250,210,2
TREX00145,Super ,30,140,120,Super ,30,250,210,1
TEOAL05031,Super ,30,140,120,Super ,30,250,210,1
TEOGI04017,Super ,30,250,210,Super ,30,600,500,1
TEOCA01012,Super ,30,140,120,Super ,30,250,210,1
TEOMO08026,Super ,30,140,120,Super ,30,250,210,1
TEOSS11021,Super ,30,250,210,Super ,30,600,500,1
101-001,Super ,30,140,120,Ultra ,100,140,320,2
TEOAL05033,Super ,30,140,120,Super ,30,250,210,1
TEEGI05011,Super ,30,250,210,Super ,30,600,500,2
ARFGI0403001,Super ,30,140,120,Super ,30,250,210,1
TEODO07051,Super ,30,140,120,Super ,30,250,210,2
